Date,Site,Tidal.elevation,Quadrat,Location,drills,olys
3/8/2017,Cove Apartments,1.5,1,2.1,2,0
3/8/2017,Cove Apartments,1.5,2,6.8,0,0
3/8/2017,Cove Apartments,1.5,3,7.4,5,0
3/8/2017,Cove Apartments,1.5,4,8.7,16,0
3/8/2017,Cove Apartments,1.5,5,9.5,23,0
3/8/2017,Cove Apartments,1.5,6,20.6,26,0
3/8/2017,Cove Apartments,1.5,7,25.8,6,0
3/8/2017,Cove Apartments,1.5,8,28.5,22,0
3/8/2017,Cove Apartments,1.5,9,29.2,16,0
3/8/2017,Cove Apartments,1.5,10,29.4,14,0
3/8/2017,Lanis Beach,1.5,1,5.2,0,0
3/8/2017,Lanis Beach,1.5,2,8.5,0,0
3/8/2017,Lanis Beach,1.5,3,9,0,0
3/8/2017,Lanis Beach,1.5,4,9.4,0,0
3/8/2017,Lanis Beach,1.5,5,12.6,0,0
3/8/2017,Lanis Beach,1.5,6,17.4,4,0
3/8/2017,Lanis Beach,1.5,7,27.3,1,0
3/8/2017,Lanis Beach,1.5,8,28.5,2,0
3/8/2017,Lanis Beach,1.5,9,29.4,1,0
3/8/2017,Lanis Beach,1.5,10,30.5,0,0
3/9/2017,Aramburu Central,1.5,1,1,6,0
3/9/2017,Aramburu Central,1.5,2,2.3,2,0
3/9/2017,Aramburu Central,1.5,3,8.8,2,0
3/9/2017,Aramburu Central,1.5,4,13,4,0
3/9/2017,Aramburu Central,1.5,5,15.2,2,0
3/9/2017,Aramburu Central,1.5,6,15.4,0,0
3/9/2017,Aramburu Central,1.5,7,20.5,11,0
3/9/2017,Aramburu Central,1.5,8,21.7,13,0
3/9/2017,Aramburu Central,1.5,9,24.5,6,0
3/9/2017,Aramburu Central,1.5,10,29.1,7,0
3/9/2017,Aramburu South,1.5,1,1.8,14,0
3/9/2017,Aramburu South,1.5,2,4.6,1,0
3/9/2017,Aramburu South,1.5,3,5.4,0,0
3/9/2017,Aramburu South,1.5,4,8.4,0,0
3/9/2017,Aramburu South,1.5,5,12.1,13,0
3/9/2017,Aramburu South,1.5,6,14.4,5,0
3/9/2017,Aramburu South,1.5,7,17.2,2,0
3/9/2017,Aramburu South,1.5,8,21,0,0
3/9/2017,Aramburu South,1.5,9,24.6,1,0
3/9/2017,Aramburu South,1.5,10,27.3,0,0
4/19/2018,Pink House,1.5,1,1.6,0,11
4/19/2018,Pink House,1.5,2,8.2,0,4
4/19/2018,Pink House,1.5,3,10,0,1
4/19/2018,Pink House,1.5,4,12.8,0,0
4/19/2018,Pink House,1.5,5,13.7,0,3
4/19/2018,Pink House,1.5,6,13.9,0,7
4/19/2018,Pink House,1.5,7,17.7,0,0
4/19/2018,Pink House,1.5,8,21.6,0,1
4/19/2018,Pink House,1.5,9,25.5,0,2
4/19/2018,Pink House,1.5,10,26,0,9
4/20/2018,Dunphy Park,1.5,1,4.6,0,16
4/20/2018,Dunphy Park,1.5,2,6.7,0,3
4/20/2018,Dunphy Park,1.5,3,7.7,0,17
4/20/2018,Dunphy Park,1.5,4,11.2,0,15
4/20/2018,Dunphy Park,1.5,5,12.8,0,25
4/20/2018,Dunphy Park,1.5,6,15.8,0,37
4/20/2018,Dunphy Park,1.5,7,17.8,0,8
4/20/2018,Dunphy Park,1.5,8,18.2,0,5
4/20/2018,Dunphy Park,1.5,9,21.5,0,0
4/20/2018,Dunphy Park,1.5,10,23.4,0,20
4/18/2018,Brickyard Cove,1.5,1,1,0,4
4/18/2018,Brickyard Cove,1.5,2,5.7,0,4
4/18/2018,Brickyard Cove,1.5,3,7.6,0,1
4/18/2018,Brickyard Cove,1.5,4,10.3,0,0
4/18/2018,Brickyard Cove,1.5,5,11.3,0,0
4/18/2018,Brickyard Cove,1.5,6,18.9,0,1
4/18/2018,Brickyard Cove,1.5,7,21.4,0,0
4/18/2018,Brickyard Cove,1.5,8,27.9,0,3
4/18/2018,Brickyard Cove,1.5,9,28.4,0,6
4/18/2018,Brickyard Cove,1.5,10,29.2,0,2
