"","Site","Date","day_of_year","year","Tidal.elevation","quadrat.number","quad.distance","size","treatment"
"1","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",19,"control"
"2","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",19,"control"
"3","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",21,"control"
"4","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",20,"control"
"5","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",21,"control"
"6","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",20,"control"
"7","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",26,"control"
"8","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",22,"control"
"9","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",17,"control"
"10","Cove Apts","6/14/17",165,"2017","1.5",1,"3.7",21,"control"
"11","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",22,"control"
"12","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",23,"control"
"13","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",23,"control"
"14","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",21,"control"
"15","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",20,"control"
"16","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",18,"control"
"17","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",21,"control"
"18","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",19,"control"
"19","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",21,"control"
"20","Cove Apts","6/14/17",165,"2017","1.5",2,"6.4",19,"control"
"21","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",21,"control"
"22","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",22,"control"
"23","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",25,"control"
"24","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",22,"control"
"25","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",21,"control"
"26","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",24,"control"
"27","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",22,"control"
"28","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",18,"control"
"29","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",19,"control"
"30","Cove Apts","6/14/17",165,"2017","1.5",3,"11.9",20,"control"
"31","Cove Apts","6/14/17",165,"2017","1.5",4,"14.9",18,"control"
"32","Cove Apts","6/14/17",165,"2017","1.5",4,"14.9",17,"control"
"33","Cove Apts","6/14/17",165,"2017","1.5",4,"14.9",18,"control"
"34","Cove Apts","6/14/17",165,"2017","1.5",4,"14.9",21,"control"
"35","Cove Apts","6/14/17",165,"2017","1.5",4,"14.9",22,"control"
"36","Cove Apts","6/14/17",165,"2017","1.5",5,"15.3",23,"control"
"37","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",21,"control"
"38","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",28,"control"
"39","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",20,"control"
"40","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",24,"control"
"41","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",25,"control"
"42","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",21,"control"
"43","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",23,"control"
"44","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",17,"control"
"45","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",19,"control"
"46","Cove Apts","6/14/17",165,"2017","1.5",6,"15.5",19,"control"
"47","Cove Apts","6/14/17",165,"2017","1.5",8,"24.6",19,"control"
"48","Cove Apts","6/14/17",165,"2017","1.5",8,"24.6",24,"control"
"49","Cove Apts","6/14/17",165,"2017","1.5",8,"24.6",18,"control"
