Site,Date,day_of_year,year,Tidal elevation,quadrat number,quad distance,size
Cove Apts,6/14/17,165,2017,1.5,1,3.7,19
Cove Apts,6/14/17,165,2017,1.5,1,3.7,19
Cove Apts,6/14/17,165,2017,1.5,1,3.7,21
Cove Apts,6/14/17,165,2017,1.5,1,3.7,20
Cove Apts,6/14/17,165,2017,1.5,1,3.7,21
Cove Apts,6/14/17,165,2017,1.5,1,3.7,20
Cove Apts,6/14/17,165,2017,1.5,1,3.7,26
Cove Apts,6/14/17,165,2017,1.5,1,3.7,22
Cove Apts,6/14/17,165,2017,1.5,1,3.7,17
Cove Apts,6/14/17,165,2017,1.5,1,3.7,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,22
Cove Apts,6/14/17,165,2017,1.5,2,6.4,23
Cove Apts,6/14/17,165,2017,1.5,2,6.4,23
Cove Apts,6/14/17,165,2017,1.5,2,6.4,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,20
Cove Apts,6/14/17,165,2017,1.5,2,6.4,18
Cove Apts,6/14/17,165,2017,1.5,2,6.4,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,19
Cove Apts,6/14/17,165,2017,1.5,2,6.4,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,19
Cove Apts,6/14/17,165,2017,1.5,3,11.9,21
Cove Apts,6/14/17,165,2017,1.5,3,11.9,22
Cove Apts,6/14/17,165,2017,1.5,3,11.9,25
Cove Apts,6/14/17,165,2017,1.5,3,11.9,22
Cove Apts,6/14/17,165,2017,1.5,3,11.9,21
Cove Apts,6/14/17,165,2017,1.5,3,11.9,24
Cove Apts,6/14/17,165,2017,1.5,3,11.9,22
Cove Apts,6/14/17,165,2017,1.5,3,11.9,18
Cove Apts,6/14/17,165,2017,1.5,3,11.9,19
Cove Apts,6/14/17,165,2017,1.5,3,11.9,20
Cove Apts,6/14/17,165,2017,1.5,4,14.9,18
Cove Apts,6/14/17,165,2017,1.5,4,14.9,17
Cove Apts,6/14/17,165,2017,1.5,4,14.9,18
Cove Apts,6/14/17,165,2017,1.5,4,14.9,21
Cove Apts,6/14/17,165,2017,1.5,4,14.9,22
Cove Apts,6/14/17,165,2017,1.5,5,15.3,23
Cove Apts,6/14/17,165,2017,1.5,6,15.5,21
Cove Apts,6/14/17,165,2017,1.5,6,15.5,28
Cove Apts,6/14/17,165,2017,1.5,6,15.5,20
Cove Apts,6/14/17,165,2017,1.5,6,15.5,24
Cove Apts,6/14/17,165,2017,1.5,6,15.5,25
Cove Apts,6/14/17,165,2017,1.5,6,15.5,21
Cove Apts,6/14/17,165,2017,1.5,6,15.5,23
Cove Apts,6/14/17,165,2017,1.5,6,15.5,17
Cove Apts,6/14/17,165,2017,1.5,6,15.5,19
Cove Apts,6/14/17,165,2017,1.5,6,15.5,19
Cove Apts,6/14/17,165,2017,1.5,8,24.6,19
Cove Apts,6/14/17,165,2017,1.5,8,24.6,24
Cove Apts,6/14/17,165,2017,1.5,8,24.6,18
Cove Apts,6/14/17,165,2017,1.5,9,25.6,18
Cove Apts,6/14/17,165,2017,1.5,9,25.6,27
Cove Apts,6/14/17,165,2017,1.5,9,25.6,24
Cove Apts,6/14/17,165,2017,1.5,9,25.6,21
Cove Apts,6/14/17,165,2017,1.5,9,25.6,16
Cove Apts,6/14/17,165,2017,1.5,10,27.3,21
Cove Apts,6/14/17,165,2017,1.5,10,27.3,12
Cove Apts,6/14/17,165,2017,1.5,10,27.3,12
Cove Apts,6/14/17,165,2017,1.5,10,27.3,9
Cove Apts,6/14/17,165,2017,1.5,10,27.3,11
Cove Apts,6/14/17,165,2017,1.5,10,27.3,21
Cove Apts,6/14/17,165,2017,1.5,10,27.3,20
Cove Apts,6/14/17,165,2017,1.5,10,27.3,25
Cove Apts,6/14/17,165,2017,1.5,10,27.3,17
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,17
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,20
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,18
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,19
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,18
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,21
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,20
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,20
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,22
Lanis Boulders,6/14/17,165,2017,N/A,1,Boulder 4,20
Lanis Boulders,6/14/17,165,2017,N/A,2,Boulder 4,19
Lanis Boulders,6/14/17,165,2017,N/A,2,Boulder 4,17
Lanis Boulders,6/14/17,165,2017,N/A,2,Boulder 4,19
Lanis Boulders,6/14/17,165,2017,N/A,2,Boulder 4,20
Lanis Boulders,6/14/17,165,2017,N/A,2,Boulder 4,19
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,20
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,23
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,24
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,18
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,17
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,3,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,21
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,21
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,16
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,23
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,16
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,21
Lanis Boulders,6/14/17,165,2017,N/A,4,Boulder 3,17
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,21
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,18
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,21
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,21
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,17
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,20
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,19
Lanis Boulders,6/14/17,165,2017,N/A,5,Boulder 3,17
Lanis Boulders,6/14/17,165,2017,N/A,6,Boulder 2,15
Lanis Boulders,6/14/17,165,2017,N/A,6,Boulder 2,17
Lanis Boulders,6/14/17,165,2017,N/A,9,Boulder 2,15
Lanis Boulders,6/15/17,166,2017,N/A,10,Boulder 3,18
Lanis Boulders,6/16/17,167,2017,N/A,11,Boulder 4,20
Lanis Boulders,6/17/17,168,2017,N/A,12,Boulder 5,16
Lanis Boulders,6/18/17,169,2017,N/A,13,Boulder 6,14
Lanis Boulders,6/19/17,170,2017,N/A,14,Boulder 7,17
Lanis Boulders,6/20/17,171,2017,N/A,15,Boulder 8,11
Aramburu Central,6/28/17,179,2017,1.5,1,0,20
Aramburu Central,6/28/17,179,2017,1.5,1,0,23
Aramburu Central,6/28/17,179,2017,1.5,1,0,20
Aramburu Central,6/28/17,179,2017,1.5,1,0,18
Aramburu Central,6/28/17,179,2017,1.5,1,0,20
