Height,Site,Site2,Block,Tile,Erad.treat,Cage.treat,Initial.oys,Alive,Missing,Dead,Drilled,Boxes,Scars,Uros.on.tile,Notes,Exclude
1.5,Lanis,Lanis Beach,1,1,Eradication,open,9,0,1,8,6,1,1,0,candidate photo,no
1.5,Lanis,Lanis Beach,1,3,Eradication,closed,10,10,0,0,0,0,0,0,candidate photo,no
1.5,Lanis,Lanis Beach,1,4,Eradication,partial,9,0,0,9,4,5,0,0,1 drilled is a scar (uro kept going?),no
1.5,Lanis,Lanis Beach,2,5,Eradication,partial,10,0,2,8,3,5,0,1,,no
1.5,Lanis,Lanis Beach,2,6,Eradication,open,10,0,0,10,7,3,0,0,,no
1.5,Lanis,Lanis Beach,2,7,Eradication,closed,9,9,1,0,0,0,0,1,,no
1.5,Lanis,Lanis Beach,3,8,Eradication,closed,9,8,1,0,0,0,0,0,,no
1.5,Lanis,Lanis Beach,3,9,Eradication,open,10,0,0,10,10,0,0,0,,no
1.5,Lanis,Lanis Beach,3,10,Eradication,partial,10,0,0,10,6,4,0,0,,no
1.5,Lanis,Lanis Beach,4,11,Eradication,closed,10,7,0,3,0,3,0,0,"Brian knocked one alive olympia off, dead equals position 1, 2, 6",no
1.5,Lanis,Lanis Beach,4,12,Eradication,partial,10,0,0,10,7,0,3,1,,no
1.5,Lanis,Lanis Beach,4,13,Eradication,open,9,0,1,8,8,0,0,0,,no
1.5,Lanis,Lanis Beach,5,14,Eradication,closed,10,10,0,0,0,0,0,0,,no
1.5,Lanis,Lanis Beach,5,15,Eradication,partial,10,0,0,10,8,2,0,0,,no
1.5,Lanis,Lanis Beach,5,16,Eradication,open,10,0,0,10,9,0,1,0,,no
1.5,Lanis,Lanis Beach,6,17,Eradication,open,8,0,0,8,5,2,1,0,,no
1.5,Lanis,Lanis Beach,6,18,Eradication,closed,10,10,0,0,0,0,0,0,,no
1.5,Lanis,Lanis Beach,6,19,Eradication,partial,10,0,0,10,10,0,0,1,,no
1.5,Lanis,Lanis Beach,7,20,Eradication,closed,10,8,0,2,0,2,0,0,Corrected via photo - added 2 boxes,no
1.5,Lanis,Lanis Beach,7,21,Eradication,partial,10,0,0,10,4,6,0,0,,no
1.5,Lanis,Lanis Beach,7,22,Eradication,open,10,0,1,9,1,7,1,0,,no
1.5,Lanis,Lanis Beach,8,23,Eradication,open,10,0,1,9,7,2,0,0,one new olympia recruit,no
1.5,Lanis,Lanis Beach,8,24,Eradication,partial,10,0,2,8,6,2,0,0,,no
1.5,Lanis,Lanis Beach,8,25,Eradication,closed,10,10,0,0,0,0,0,0,,no
1.5,Cove,Lanis Beach,9,26,Control,partial,9,0,1,8,7,0,1,1,Corrected - 8 not 7 dead,no
1.5,Cove,Lanis Beach,9,27,Control,open,10,0,2,8,7,1,0,0,,no
1.5,Cove,Lanis Beach,9,28,Control,closed,10,6,0,4,1,3,0,23,Yikes! Cage failed,yes
1.5,Cove,Lanis Beach,10,29,Control,open,10,0,1,9,7,0,2,0,,no
1.5,Cove,Lanis Beach,10,30,Control,partial,10,0,2,8,5,3,0,2,,no
1.5,Cove,Lanis Beach,10,31,Control,closed,10,9,0,1,0,1,0,0,,no
1.5,Cove,Lanis Beach,11,32,Control,partial,8,0,1,7,0,5,2,1,,no
1.5,Cove,Lanis Beach,11,33,Control,open,10,0,0,10,6,2,2,2,,no
1.5,Cove,Lanis Beach,11,34,Control,closed,9,8,1,0,0,0,0,0,,no
1.5,Cove,Lanis Beach,12,35,Control,open,10,0,3,7,6,1,0,1,,no
1.5,Cove,Lanis Beach,12,36,Control,closed,10,0,0,10,0,10,0,13,Exclude! Hard to see bore holes,yes
1.5,Cove,Lanis Beach,12,37,Control,partial,10,0,1,9,5,2,2,1,,no
1.5,Cove,Lanis Beach,13,38,Control,closed,10,10,0,0,0,0,0,0,,no
1.5,Cove,Lanis Beach,13,39,Control,partial,10,0,0,10,0,8,2,4,Muddy,no
1.5,Cove,Lanis Beach,13,40,Control,open,10,0,1,9,3,5,1,0,One oyster loose,no
1.5,Cove,Lanis Beach,14,41,Control,partial,10,0,0,10,5,3,2,0,,no
1.5,Cove,Lanis Beach,14,42,Control,closed,10,0,0,10,6,4,0,6,Exclude,yes
1.5,Cove,Lanis Beach,14,43,Control,open,10,0,2,8,5,0,3,0,,no
1.5,Cove,Lanis Beach,15,44,Control,open,10,0,0,10,10,0,0,0,,no
1.5,Cove,Lanis Beach,15,45,Control,closed,10,8,2,0,0,0,0,0,,no
1.5,Cove,Lanis Beach,15,46,Control,partial,10,0,3,7,1,3,3,1,,no
1.5,Cove,Lanis Beach,16,47,Control,closed,10,10,0,0,0,0,0,0,,no
